Current_State,Previous_State,Movers_Estimate
Iowa,Pennsylvania,669.0
Iowa,Rhode Island,0.0
Iowa,South Carolina,299.0
Iowa,South Dakota,2209.0
Iowa,Tennessee,1324.0
Iowa,Texas,3634.0
Iowa,Utah,99.0
Iowa,Vermont,99.0
Iowa,Virginia,1094.0
Iowa,Washington,1022.0
Iowa,West Virginia,0.0
Iowa,Wisconsin,3321.0
Iowa,Wyoming,343.0
Kansas,Alabama,881.0
Kansas,Alaska,174.0
Kansas,Arizona,2365.0
Kansas,Arkansas,884.0
Kansas,California,3160.0
Kansas,Colorado,4591.0
Kansas,Connecticut,92.0
Kansas,Delaware,61.0
Kansas,District of Columbia,0.0
Kansas,Florida,2737.0
Kansas,Georgia,1737.0
Kansas,Hawaii,0.0
Kansas,Idaho,925.0
Kansas,Illinois,1906.0
Kansas,Indiana,846.0
Kansas,Iowa,1648.0
Kansas,Kentucky,969.0
Kansas,Louisiana,1643.0
Kansas,Maine,0.0
Kansas,Maryland,443.0
Kansas,Massachusetts,97.0
Kansas,Michigan,1369.0
Kansas,Minnesota,1478.0
Kansas,Mississippi,326.0
Kansas,Missouri,18573.0
Kansas,Montana,75.0
Kansas,Nebraska,3841.0
Kansas,Nevada,2049.0
Kansas,New Hampshire,320.0
Kansas,New Jersey,543.0
Kansas,New Mexico,267.0
Kansas,New York,1505.0
Kansas,North Carolina,494.0
Kansas,North Dakota,689.0
Kansas,Ohio,2050.0
Kansas,Oklahoma,3534.0
Kansas,Oregon,248.0
Kansas,Pennsylvania,1176.0
Kansas,Rhode Island,21.0
Kansas,South Carolina,218.0
Kansas,South Dakota,354.0
Kansas,Tennessee,1480.0
Kansas,Texas,7229.0
Kansas,Utah,131.0
Kansas,Vermont,0.0
Kansas,Virginia,1827.0
Kansas,Washington,980.0
Kansas,West Virginia,96.0
Kansas,Wisconsin,609.0
Kansas,Wyoming,497.0
Kentucky,Alabama,1496.0
Kentucky,Alaska,549.0
Kentucky,Arizona,2484.0
Kentucky,Arkansas,373.0
Kentucky,California,5838.0
Kentucky,Colorado,1858.0
Kentucky,Connecticut,138.0
Kentucky,Delaware,0.0
Kentucky,District of Columbia,133.0
Kentucky,Florida,5243.0
Kentucky,Georgia,3491.0
Kentucky,Hawaii,1020.0
Kentucky,Idaho,610.0
Kentucky,Illinois,4407.0
Kentucky,Indiana,8310.0
Kentucky,Iowa,577.0
Kentucky,Kansas,502.0
Kentucky,Louisiana,2343.0
Kentucky,Maine,160.0
Kentucky,Maryland,633.0
Kentucky,Massachusetts,245.0
Kentucky,Michigan,3619.0
Kentucky,Minnesota,229.0
Kentucky,Mississippi,94.0
Kentucky,Missouri,1734.0
Kentucky,Montana,758.0
Kentucky,Nebraska,93.0
Kentucky,Nevada,1445.0
Kentucky,New Hampshire,3667.0
Kentucky,New Jersey,388.0
Kentucky,New Mexico,0.0
Kentucky,New York,2370.0
Kentucky,North Carolina,2452.0
Kentucky,North Dakota,0.0
Kentucky,Ohio,13249.0
Kentucky,Oklahoma,1451.0
Kentucky,Oregon,396.0
Kentucky,Pennsylvania,2282.0
Kentucky,Rhode Island,0.0
Kentucky,South Carolina,1126.0
Kentucky,South Dakota,841.0
Kentucky,Tennessee,14444.0
Kentucky,Texas,5471.0
Kentucky,Utah,259.0
Kentucky,Vermont,0.0
Kentucky,Virginia,2754.0
Kentucky,Washington,4273.0
Kentucky,West Virginia,1565.0
Kentucky,Wisconsin,1427.0
Kentucky,Wyoming,0.0
Louisiana,Alabama,2558.0
Louisiana,Alaska,229.0
Louisiana,Arizona,669.0
Louisiana,Arkansas,3228.0
Louisiana,California,2424.0
Louisiana,Colorado,777.0
Louisiana,Connecticut,778.0
Louisiana,Delaware,0.0
Louisiana,District of Columbia,0.0
Louisiana,Florida,4686.0
Louisiana,Georgia,2407.0
Louisiana,Hawaii,313.0
Louisiana,Idaho,1306.0
Louisiana,Illinois,1289.0
Louisiana,Indiana,854.0
Louisiana,Iowa,104.0
Louisiana,Kansas,789.0
Louisiana,Kentucky,207.0
Louisiana,Maine,0.0
Louisiana,Maryland,1289.0
